feature,importance,model
repeat_offender_ratio,0.41324413,violation_count
grid_mean_count,0.10440499,violation_count
critical_ratio,0.054216933,violation_count
violation_count_lag_1,0.040871147,violation_count
grid_mean_impact,0.022383055,violation_count
violation_count_rolling_12,0.022231633,violation_count
violation_count_rolling_24,0.021551065,violation_count
avg_impact_score_lag_168,0.02049437,violation_count
avg_impact_score_rolling_12,0.020463962,violation_count
violation_count_rolling_6,0.019876095,violation_count
avg_impact_score_rolling_24,0.019669522,violation_count
avg_impact_score_lag_6,0.018787334,violation_count
avg_impact_score_lag_3,0.018720118,violation_count
avg_impact_score_rolling_6,0.018648708,violation_count
violation_count_lag_6,0.018295113,violation_count
avg_impact_score_lag_1,0.017446907,violation_count
violation_count_lag_3,0.017344797,violation_count
violation_count_lag_168,0.01721005,violation_count
avg_impact_score_lag_24,0.016582262,violation_count
hour_cos,0.015672617,violation_count
violation_count_lag_24,0.014669817,violation_count
hour_sin,0.014566097,violation_count
dow_cos,0.011619827,violation_count
dow_sin,0.011155845,violation_count
month,0.008102232,violation_count
dow,0.0075762295,violation_count
hour,0.0071323244,violation_count
is_weekend,0.007062881,violation_count
critical_ratio,0.5099598,impact_score
hour,0.11435487,impact_score
hour_cos,0.10353544,impact_score
hour_sin,0.07983621,impact_score
grid_mean_impact,0.07392469,impact_score
avg_impact_score_rolling_24,0.029791456,impact_score
repeat_offender_ratio,0.021338778,impact_score
avg_impact_score_rolling_6,0.0063698385,impact_score
grid_mean_count,0.0054269736,impact_score
avg_impact_score_rolling_12,0.0040173493,impact_score
avg_impact_score_lag_1,0.0038134013,impact_score
avg_impact_score_lag_168,0.0031534212,impact_score
avg_impact_score_lag_3,0.0031519898,impact_score
violation_count_rolling_24,0.003094416,impact_score
avg_impact_score_lag_6,0.003082482,impact_score
dow,0.0029457277,impact_score
avg_impact_score_lag_24,0.0029289941,impact_score
violation_count_rolling_12,0.0029034906,impact_score
violation_count_lag_24,0.0028513134,impact_score
violation_count_lag_6,0.0028342814,impact_score
violation_count_rolling_6,0.002748943,impact_score
dow_sin,0.0027189993,impact_score
dow_cos,0.002700347,impact_score
violation_count_lag_168,0.0026729228,impact_score
violation_count_lag_3,0.0026347742,impact_score
violation_count_lag_1,0.002553575,impact_score
month,0.0025188872,impact_score
is_weekend,0.0021366125,impact_score
